GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Image-Charts,com.image.charts,ImageChartsException,4,0,0,0,2,0,1,0,1,0
Image-Charts,com.image.charts,ImageCharts,566,0,42,0,107,0,63,0,42,0
